"Subject" "ActivityName" "DomainSignal" "RawSignal" "Acceleration" "Magnitude" "Measure" "JerkSignal" "Axis" "count" "average"
"21" 1 "LAYING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "Y" 61 -0.989162987704918
"22" 1 "LAYING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "Z" 61 -0.979910593278689
"23" 1 "LAYING" "Frequency" "Gyroscope" "Body" "Magnitude" "Mean" NA NA 61 -0.984216475901639
"24" 1 "LAYING" "Frequency" "Gyroscope" "Body" "Magnitude" "Mean" "Jerk" NA 61 -0.995820767213115
"25" 1 "LAYING" "Frequency" "Gyroscope" "Body" "Magnitude" "Std Dev" NA NA 61 -0.976442687704918
"26" 1 "LAYING" "Frequency" "Gyroscope" "Body" "Magnitude" "Std Dev" "Jerk" NA 61 -0.995763848360656
"27" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Mean" NA "X" 61 0.281638466721311
"28" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Mean" NA "Y" 61 -0.0162092114398361
"29" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Mean" NA "Z" 61 -0.110843470442623
"30" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "X" 61 0.0753832627540984
"31" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "Y" 61 0.00489270811967213
"32" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "Z" 61 -0.00118996371272131
"33" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "X" 61 -0.994605370327869
"34" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "Y" 61 -0.971084136229508
"35" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "Z" 61 -0.981910367868852
"36" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "X" 61 -0.994488586721311
"37" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Y" 61 -0.986700323606557
"38" 1 "LAYING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Z" 61 -0.992281964098361
"39" 1 "LAYING" "Time" "Accelerometer" "Body" "Magnitude" "Mean" NA NA 61 -0.984378573442623
"40" 1 "LAYING" "Time" "Accelerometer" "Body" "Magnitude" "Mean" "Jerk" NA 61 -0.992635087868852
"41" 1 "LAYING" "Time" "Accelerometer" "Body" "Magnitude" "Std Dev" NA NA 61 -0.979913795901639
"42" 1 "LAYING" "Time" "Accelerometer" "Body" "Magnitude" "Std Dev" "Jerk" NA 61 -0.993338832622951
"43" 1 "LAYING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "X" 61 0.833774933983607
"44" 1 "LAYING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "Y" 61 -0.0722878804918033
"45" 1 "LAYING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "Z" 61 0.114469905044262
"46" 1 "LAYING" "Time" "Accelerometer" "Gravity" NA "Std Dev" NA "X" 61 -0.98993953852459
"47" 1 "LAYING" "Time" "Accelerometer" "Gravity" NA "Std Dev" NA "Y" 61 -0.977202475737705
"48" 1 "LAYING" "Time" "Accelerometer" "Gravity" NA "Std Dev" NA "Z" 61 -0.977304875409836
"49" 1 "LAYING" "Time" "Accelerometer" "Gravity" "Magnitude" "Mean" NA NA 61 -0.984378573442623
"50" 1 "LAYING" "Time" "Accelerometer" "Gravity" "Magnitude" "Std Dev" NA NA 61 -0.979913795901639
"51" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Mean" NA "X" 61 -0.0240907156311475
"52" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Mean" NA "Y" 61 -0.0709766717540984
"53" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Mean" NA "Z" 61 0.0980000940983607
"54" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Mean" "Jerk" "X" 61 -0.0994221038196721
"55" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Mean" "Jerk" "Y" 61 -0.041629034557377
"56" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Mean" "Jerk" "Z" 61 -0.0563767697852459
"57" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Std Dev" NA "X" 61 -0.989756148196721
"58" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Std Dev" NA "Y" 61 -0.98969655704918
"59" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Std Dev" NA "Z" 61 -0.978300161639344
"60" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Std Dev" "Jerk" "X" 61 -0.994468018852459
"61" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Std Dev" "Jerk" "Y" 61 -0.995854704098361
"62" 1 "LAYING" "Time" "Gyroscope" "Body" NA "Std Dev" "Jerk" "Z" 61 -0.994025471147541
"63" 1 "LAYING" "Time" "Gyroscope" "Body" "Magnitude" "Mean" NA NA 61 -0.971240294098361
"64" 1 "LAYING" "Time" "Gyroscope" "Body" "Magnitude" "Mean" "Jerk" NA 61 -0.99606277852459
"65" 1 "LAYING" "Time" "Gyroscope" "Body" "Magnitude" "Std Dev" NA NA 61 -0.977026139016393
"66" 1 "LAYING" "Time" "Gyroscope" "Body" "Magnitude" "Std Dev" "Jerk" NA 61 -0.995815817704918
"67" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "X" 52 -0.328761864282692
"68" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "Y" 52 -0.244152334850769
"69" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "Z" 52 -0.420568899480769
"70" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "X" 52 -0.398867899211538
"71" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "Y" 52 -0.402446533596154
"72" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "Z" 52 -0.578795405192308
"73" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "X" 52 -0.312920217875
"74" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "Y" 52 -0.190293631413462
"75" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "Z" 52 -0.201703488753846
"76" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "X" 52 -0.411493019298077
"77" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Y" 52 -0.397426778134615
"78" 1 "SITTING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Z" 52 -0.645318017884615
"79" 1 "SITTING" "Frequency" "Accelerometer" "Body" "Magnitude" "Mean" NA NA 52 -0.294020204025
"80" 1 "SITTING" "Frequency" "Accelerometer" "Body" "Magnitude" "Mean" "Jerk" NA 52 -0.360119856019231
"81" 1 "SITTING" "Frequency" "Accelerometer" "Body" "Magnitude" "Std Dev" NA NA 52 -0.426166293057692
"82" 1 "SITTING" "Frequency" "Accelerometer" "Body" "Magnitude" "Std Dev" "Jerk" NA 52 -0.473776890371154
"83" 1 "SITTING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "X" 52 -0.497184894707692
"84" 1 "SITTING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "Y" 52 -0.317312648961538
"85" 1 "SITTING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "Z" 52 -0.370352415778846
"86" 1 "SITTING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "X" 52 -0.585822897615385
"87" 1 "SITTING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "Y" 52 -0.153849759807692
"88" 1 "SITTING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "Z" 52 -0.508249464807692
"89" 1 "SITTING" "Frequency" "Gyroscope" "Body" "Magnitude" "Mean" NA NA 52 -0.371905023903846
"90" 1 "SITTING" "Frequency" "Gyroscope" "Body" "Magnitude" "Mean" "Jerk" NA 52 -0.564754597096154
"91" 1 "SITTING" "Frequency" "Gyroscope" "Body" "Magnitude" "Std Dev" NA NA 52 -0.388118577846154
"92" 1 "SITTING" "Frequency" "Gyroscope" "Body" "Magnitude" "Std Dev" "Jerk" NA 52 -0.633387685769231
"93" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Mean" NA "X" 52 0.270859853653846
"94" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Mean" NA "Y" 52 -0.0189705517153846
"95" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Mean" NA "Z" 52 -0.101195890730769
"96" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "X" 52 0.0780625242403846
"97" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "Y" 52 0.00862670848846154
"98" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "Z" 52 -0.0386652093496154
"99" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "X" 52 -0.315670982807692
"100" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "Y" 52 -0.170520145701923
"101" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "Z" 52 -0.225560356734615
"102" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "X" 52 -0.377488573084615
"103" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Y" 52 -0.379500861423077
"104" 1 "SITTING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Z" 52 -0.612818247884615
"105" 1 "SITTING" "Time" "Accelerometer" "Body" "Magnitude" "Mean" NA NA 52 -0.199680453228462
"106" 1 "SITTING" "Time" "Accelerometer" "Body" "Magnitude" "Mean" "Jerk" NA 52 -0.408213746213462
"107" 1 "SITTING" "Time" "Accelerometer" "Body" "Magnitude" "Std Dev" NA NA 52 -0.308204169230769
"108" 1 "SITTING" "Time" "Accelerometer" "Body" "Magnitude" "Std Dev" "Jerk" NA 52 -0.405815523365385
"109" 1 "SITTING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "X" 52 0.915752235769231
"110" 1 "SITTING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "Y" 52 -0.317671160576923
"111" 1 "SITTING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "Z" 52 -0.0545941500538462
"112" 1 "SITTING" "Time" "Accelerometer" "Gravity" NA "Std Dev" NA "X" 52 -0.957102930961538
"113" 1 "SITTING" "Time" "Accelerometer" "Gravity" NA "Std Dev" NA "Y" 52 -0.949415630961538
"114" 1 "SITTING" "Time" "Accelerometer" "Gravity" NA "Std Dev" NA "Z" 52 -0.909562284615385
"115" 1 "SITTING" "Time" "Accelerometer" "Gravity" "Magnitude" "Mean" NA NA 52 -0.199680453228462
"116" 1 "SITTING" "Time" "Accelerometer" "Gravity" "Magnitude" "Std Dev" NA NA 52 -0.308204169230769
"117" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Mean" NA "X" 52 0.0317506038059615
"118" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Mean" NA "Y" 52 -0.140828428494231
"119" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Mean" NA "Z" 52 0.0762567515788461
"120" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Mean" "Jerk" "X" 52 -0.0961939476923077
"121" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Mean" "Jerk" "Y" 52 -0.0504777342769231
"122" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Mean" "Jerk" "Z" 52 -0.0408686747461538
"123" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Std Dev" NA "X" 52 -0.561906664096154
"124" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Std Dev" NA "Y" 52 -0.2000407352
"125" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Std Dev" NA "Z" 52 -0.433516094575
"126" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Std Dev" "Jerk" "X" 52 -0.623858956730769
"127" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Std Dev" "Jerk" "Y" 52 -0.528756702846154
"128" 1 "SITTING" "Time" "Gyroscope" "Body" NA "Std Dev" "Jerk" "Z" 52 -0.543110276923077
"129" 1 "SITTING" "Time" "Gyroscope" "Body" "Magnitude" "Mean" NA NA 52 -0.236058618719231
"130" 1 "SITTING" "Time" "Gyroscope" "Body" "Magnitude" "Mean" "Jerk" NA 52 -0.543725094423077
"131" 1 "SITTING" "Time" "Gyroscope" "Body" "Magnitude" "Std Dev" NA NA 52 -0.3047210099
"132" 1 "SITTING" "Time" "Gyroscope" "Body" "Magnitude" "Std Dev" "Jerk" NA 52 -0.580670474038462
"133" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "X" 85 -0.173760365928235
"134" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "Y" 85 -0.0157288265458824
"135" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "Z" 85 -0.328612539529412
"136" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "X" 85 -0.206954310568235
"137" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "Y" 85 -0.176442465213424
"138" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "Z" 85 -0.479319994941176
"139" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "X" 85 -0.189574782972941
"140" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "Y" 85 -0.00157315289305882
"141" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "Z" 85 -0.157846976028235
"142" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "X" 85 -0.213709044092588
"143" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Y" 85 -0.118930562764706
"144" 1 "STANDING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Z" 85 -0.552485552117647
"145" 1 "STANDING" "Frequency" "Accelerometer" "Body" "Magnitude" "Mean" NA NA 85 -0.108439124901176
"146" 1 "STANDING" "Frequency" "Accelerometer" "Body" "Magnitude" "Mean" "Jerk" NA 85 -0.148328558367059
"147" 1 "STANDING" "Frequency" "Accelerometer" "Body" "Magnitude" "Std Dev" NA NA 85 -0.318995357454118
"148" 1 "STANDING" "Frequency" "Accelerometer" "Body" "Magnitude" "Std Dev" "Jerk" NA 85 -0.224169573897647
"149" 1 "STANDING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "X" 85 -0.395554298964706
"150" 1 "STANDING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "Y" 85 -0.145325605925882
"151" 1 "STANDING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "Z" 85 -0.235772908449412
"152" 1 "STANDING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "X" 85 -0.533482356505882
"153" 1 "STANDING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "Y" 85 0.00192903701529412
"154" 1 "STANDING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "Z" 85 -0.398739137529412
"155" 1 "STANDING" "Frequency" "Gyroscope" "Body" "Magnitude" "Mean" NA NA 85 -0.225317952688235
"156" 1 "STANDING" "Frequency" "Gyroscope" "Body" "Magnitude" "Mean" "Jerk" NA 85 -0.400802911231765
"157" 1 "STANDING" "Frequency" "Gyroscope" "Body" "Magnitude" "Std Dev" NA NA 85 -0.287936477011765
"158" 1 "STANDING" "Frequency" "Gyroscope" "Body" "Magnitude" "Std Dev" "Jerk" NA 85 -0.483767413223529
"159" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Mean" NA "X" 85 0.274466599529412
"160" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Mean" NA "Y" 85 -0.0163884677297647
"161" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Mean" NA "Z" 85 -0.106453713252941
"162" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "X" 85 0.0803804459729412
"163" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "Y" 85 0.0448879846670588
"164" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "Z" 85 -0.00148601890117647
"165" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "X" 85 -0.183296969234459
"166" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "Y" 85 0.0401701712188235
"167" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "Z" 85 -0.164961887008235
"168" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "X" 85 -0.173853466156471
"169" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Y" 85 -0.120400752431765
"170" 1 "STANDING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Z" 85 -0.5167340444
"171" 1 "STANDING" "Time" "Accelerometer" "Body" "Magnitude" "Mean" NA NA 85 -0.0651109018235294
"172" 1 "STANDING" "Time" "Accelerometer" "Body" "Magnitude" "Mean" "Jerk" NA 85 -0.219014333070588
"173" 1 "STANDING" "Time" "Accelerometer" "Body" "Magnitude" "Std Dev" NA NA 85 -0.156634060132941
"174" 1 "STANDING" "Time" "Accelerometer" "Body" "Magnitude" "Std Dev" "Jerk" NA 85 -0.178196525267059
"175" 1 "STANDING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "X" 85 0.920633107294118
"176" 1 "STANDING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "Y" 85 -0.300237431294118
"177" 1 "STANDING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "Z" 85 -0.0631456432117647
"178" 1 "STANDING" "Time" "Accelerometer" "Gravity" NA "Std Dev" NA "X" 85 -0.962014617294118
"179" 1 "STANDING" "Time" "Accelerometer" "Gravity" NA "Std Dev" NA "Y" 85 -0.954281887647059
"180" 1 "STANDING" "Time" "Accelerometer" "Gravity" NA "Std Dev" NA "Z" 85 -0.924415912352941
"181" 1 "STANDING" "Time" "Accelerometer" "Gravity" "Magnitude" "Mean" NA NA 85 -0.0651109018235294
"182" 1 "STANDING" "Time" "Accelerometer" "Gravity" "Magnitude" "Std Dev" NA NA 85 -0.156634060132941
"183" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Mean" NA "X" 85 -0.0318897068884706
"184" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Mean" NA "Y" 85 -0.0872681005423529
"185" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Mean" NA "Z" 85 0.0772441734582353
"186" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Mean" "Jerk" "X" 85 -0.0978510646391765
"187" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Mean" "Jerk" "Y" 85 -0.0425478477411765
"188" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Mean" "Jerk" "Z" 85 -0.0345968707137647
"189" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Std Dev" NA "X" 85 -0.497885467188235
"190" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Std Dev" NA "Y" 85 -0.0380336226464706
"191" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Std Dev" NA "Z" 85 -0.308863419058824
"192" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Std Dev" "Jerk" "X" 85 -0.433377765494118
"193" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Std Dev" "Jerk" "Y" 85 -0.370798628552941
"194" 1 "STANDING" "Time" "Gyroscope" "Body" NA "Std Dev" "Jerk" "Z" 85 -0.419622869081176
"195" 1 "STANDING" "Time" "Gyroscope" "Body" "Magnitude" "Mean" NA NA 85 -0.103618850047059
"196" 1 "STANDING" "Time" "Gyroscope" "Body" "Magnitude" "Mean" "Jerk" NA 85 -0.387850053023529
"197" 1 "STANDING" "Time" "Gyroscope" "Body" "Magnitude" "Std Dev" NA NA 85 -0.173597772447059
"198" 1 "STANDING" "Time" "Gyroscope" "Body" "Magnitude" "Std Dev" "Jerk" NA 85 -0.417639502035294
"199" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "X" 51 -0.970419849803922
"200" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "Y" 51 -0.939308342156863
"201" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "Z" 51 -0.930098669607843
"202" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "X" 51 -0.978254215882353
"203" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "Y" 51 -0.970502210980392
"204" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "Z" 51 -0.975736966862745
"205" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "X" 51 -0.962780073529412
"206" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "Y" 51 -0.918178065686274
"207" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "Z" 51 -0.879978718647059
"208" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "X" 51 -0.981459022156863
"209" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Y" 51 -0.973640974705882
"210" 1 "WALKING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Z" 51 -0.981291654901961
"211" 1 "WALKING" "Frequency" "Accelerometer" "Body" "Magnitude" "Mean" NA NA 51 -0.924654286078431
"212" 1 "WALKING" "Frequency" "Accelerometer" "Body" "Magnitude" "Mean" "Jerk" NA 51 -0.973353352745098
"213" 1 "WALKING" "Frequency" "Accelerometer" "Body" "Magnitude" "Std Dev" NA NA 51 -0.888037310862745
"214" 1 "WALKING" "Frequency" "Accelerometer" "Body" "Magnitude" "Std Dev" "Jerk" NA 51 -0.967958927843137
"215" 1 "WALKING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "X" 51 -0.937090542921569
"216" 1 "WALKING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "Y" 51 -0.966473137058824
"217" 1 "WALKING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "Z" 51 -0.932864870980392
"218" 1 "WALKING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "X" 51 -0.948406331372549
"219" 1 "WALKING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "Y" 51 -0.956310246470588
"220" 1 "WALKING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "Z" 51 -0.930073469215686
"221" 1 "WALKING" "Frequency" "Gyroscope" "Body" "Magnitude" "Mean" NA NA 51 -0.92711786627451
"222" 1 "WALKING" "Frequency" "Gyroscope" "Body" "Magnitude" "Mean" "Jerk" NA 51 -0.971709605882353
"223" 1 "WALKING" "Frequency" "Gyroscope" "Body" "Magnitude" "Std Dev" NA NA 51 -0.89654163027451
"224" 1 "WALKING" "Frequency" "Gyroscope" "Body" "Magnitude" "Std Dev" "Jerk" NA 51 -0.969190135882353
"225" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Mean" NA "X" 51 0.252462791196078
"226" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Mean" NA "Y" 51 0.000313521788823529
"227" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Mean" NA "Z" 51 -0.12515727845098
"228" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "X" 51 0.0776517418627451
"229" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "Y" 51 -0.00224311547509804
"230" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Mean" "Jerk" "Z" 51 0.0109148947888235
"231" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "X" 51 -0.964704803333333
"232" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "Y" 51 -0.921457070588235
"233" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Std Dev" NA "Z" 51 -0.890303935823529
"234" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "X" 51 -0.978759606862745
"235" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Y" 51 -0.970895502352941
"236" 1 "WALKING" "Time" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Z" 51 -0.979113193921569
"237" 1 "WALKING" "Time" "Accelerometer" "Body" "Magnitude" "Mean" NA NA 51 -0.917459153176471
"238" 1 "WALKING" "Time" "Accelerometer" "Body" "Magnitude" "Mean" "Jerk" NA 51 -0.979532962745098
"239" 1 "WALKING" "Time" "Accelerometer" "Body" "Magnitude" "Std Dev" NA NA 51 -0.887417326686274
"240" 1 "WALKING" "Time" "Accelerometer" "Body" "Magnitude" "Std Dev" "Jerk" NA 51 -0.971374906078431
"241" 1 "WALKING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "X" 51 0.578161398745098
"242" 1 "WALKING" "Time" "Accelerometer" "Gravity" NA "Mean" NA "Y" 51 0.348748077372549
